NOMBRE_COMUNA_EGRESO;NOMBRE_UNIDAD_EDUC;PROMEDIO_COLEGIO
ÑUÑOA;COMPLEJO EDUC.MUN. BRIGIDA  WALKER.;587.8631313131312
SANTIAGO;FUNDACION DUOC;527.45
SAN MIGUEL;ESCUELA DEL CARIÑO IX;502.2392307692308
MACUL;INSTITUTO DE EDUCACION DE ADULTOS MACUL;535.5328421052632
QUILICURA;LICEO DE ADULTOS POETA VICENTE HUIDOBRO;535.101
SAN JOAQUIN;LICEO SANTA MARIA EUFRASIA;453.7185365853658
SANTIAGO;INTERNADO NACIONAL BARROS ARANA;641.0879931972789
SANTIAGO;COLEGIO DE ADULTOS ALTAZOL DE SANTIAGO;524.6415
LO ESPEJO;CENTRO DUC.CARDENAL JOSE MARIA CARO;520.0115384615385
ESTACION CENTRAL;ESCUELA DEL CARIÑO RICARDO NAVIA;528.683023255814
PUENTE ALTO;CENTRO EDUCACIONAL DE ADULTOS SAN ALFONSO;533.4353409090909
SANTIAGO;COLEGIO DE ADULTOS GLADYS LAZO;536.505593220339
PUENTE ALTO;COLEGIO CENTRO EDUC. Y FAMILIAR PTE ALTO;531.4292207792208
SANTIAGO;COLEGIO CTRO. INTEG  ADULTOS ALTAZOL;560.1505660377359
PEDRO AGUIRRE CERDA;COLEGIO DE AD. ANTONIO ACEVEDO;534.6557777777779
PUENTE ALTO;C. INTEGRAL DE AD. PROFESORA TERESA MOYA REYE;527.1227722772277
PEÑALOLEN;CENTRO EDUCACIONAL INTEGRAL DE ADULTOS ERASMO ESCALA ARRIAGADA (CEIA));526.611320754717
PROVIDENCIA;COLEGIO SANTISIMA TRINIDAD;624.5
EL BOSQUE;ESCUELA BASICA BASE EL BOSQUE;505.29999999999995
COLINA;LICEO REBECA OLIVARES BENITEZ;432.0733333333334
EL BOSQUE;COLEGIO DE ADULTOS JOSE ABELARDO NUNEZ EL BOS;534.9315384615385
RECOLETA;LICEO BICENTENARIO TÉCNICO PROFESIONAL IGNACIO DOMEYKO;564.6665463917526
SANTIAGO;COLEGIO PART. ADULTOS INSTITUTO ICEL;548.4558914728682
MAIPU;COLEGIO DE ADULTOS LOS LIBERTADORES DE MAIPU;547.8571559633027
LAS CONDES;COLEGIO COMPANIA DE MARIA APOQUINDO;748.6984090909091
PUENTE ALTO;ESCUELA CAMINO DE LUZ;461.0455102040816
CONCHALI;COLEGIO DE ADULTOS CARELMAPU DE CONCHALI;539.5753571428571
CERRILLOS;LICEO POLIVALENTE DR. LUIS VARGAS SALCEDO;533.1513043478261
MELIPILLA;LICEO POLIV. HNOS. SOTOMAYOR BAEZA;556.1462465753425
LA FLORIDA;COMPLEJO EDUC. MUNICIPAL CARDEN.A.SAMORE;540.527536231884
SANTIAGO;LICEO JAVIERA CARRERA;668.1657786357787
LA PINTANA;ESC. PART. CELESTIN FREINET;515.6109375
SAN MIGUEL;INST. REG. EDUC ADULTOS SAN MIGUEL;540.7341935483871
PADRE HURTADO;CENTRO EDUCACIONAL DE ADULTOS PADRE ALBERTO HURTADO;523.6026829268293
CERRO NAVIA;CENTRO EDUCACIONAL DE ADULTOS;558.0716666666666
RECOLETA;ESCUELA DE ADULTOS  JORGE ALESSANDRI R.;537.499945945946
LA CISTERNA;LICEO PART. SALESIANO MANUEL ARRIARAN BARROS;652.0456906077349
MAIPU;INSTITUTO  PARA  ADULTOS COSTEAU;524.6847826086956
LA GRANJA;LICEO DOCTOR ALEJANDRO DEL RIO;521.7878571428571
PUENTE ALTO;CENTRO EDUC. DE ADULTOS ISABEL LA CATOLICA;537.4872527472527
SAN JOAQUIN;LICEO INDUSTRIAL DE SAN MIGUEL AGUSTIN ED;551.1176515151515
TALAGANTE;LICEO TALAGANTE;568.4555399061032
LAS CONDES;COLEGIO DEL SAGRADO CORAZON DE APOQUINDO;797.9744186046512
SANTIAGO;LICEO INSTITUTO NACIONAL;728.7795287464655
LO ESPEJO;LICEO TENIENTE FRANCISCO MERY AGUIRRE;526.1403846153846
PUENTE ALTO; ;605.5062594268477
EL BOSQUE;LICEO JUAN GOMEZ MILLAS;531.2483802816902
SAN MIGUEL;COLEGIO DE AD. SAN JAVIER DE SAN MIGUEL;533.0488235294117
LA PINTANA;LICEO DE ADULTOS CEIA DE LA PINTANA;519.1144
LA FLORIDA;COLEGIO DE ADULTOS LONDON DE LA FLORIDA;556.5167441860466
PADRE HURTADO;COLEGIO POLIV. SAN CRISTOBAL APOSTOL;550.8806896551724
SANTIAGO;LICEO DE ADULTOS HERBERT VARGAS WALLIS;486.7036448598131
LA REINA;COMPLEJO EDUCACIONAL LA REINA;596.7789047619048
LO BARNECHEA;EDUCAR LO BARNECHEA;551.17
MAIPU;COLEGIO POLIVALENTE PATRICIO MEKIS;559.8474319066148
CERRO NAVIA;CEIA GEORGINA SALAS DINAMARCA;528.10359375
LO PRADO;ESCUELA CENTRO EDUC.INTEGRAL DE ADULTOS;572.6172340425532
SAN RAMON;LICEO MUNICIPALIZADO ARAUCANIA;521.2871052631579
SAN RAMON;CENTRO DE EDUCACION PAULA JARAQUEMADA;506.28560975609753
MAIPU;ESCUELA GENERAL OHIGGINS;547.8056
PEÑAFLOR;CENTRO EDUC. NINO DIOS DE MALLOCO;553.1750190114068
SAN JOAQUIN;CENTRO EDUCACIONAL HORACIO ARAVENA A.;550.3213793103448
LA CISTERNA;ESCUELA INDUSTRIAL GALVARINO N 2 VESP;473.0
PEÑAFLOR;CENTRO EDUCACIONAL DE ADULTOS DREYSE;545.2483333333333
MACUL;COLEGIO DE ADULTOS ROCKET;529.4104545454546
SAN JOAQUIN;COLEGIO INFOCAP;534.1360377358491
PUENTE ALTO;CHILEAN EAGLES COLLEGE LAS VIZCACHAS;615.7059047619048
LA PINTANA;CENTRO EDUCACIONAL MUN.MARIANO LATORRE;516.9227027027027
SANTIAGO;LICEO CONFEDERACION SUIZA;587.7892452830189
QUINTA NORMAL;COLEGIO DE ADULTOS ESCUELA DEL CARIÑO;533.4649999999999
RECOLETA;CENTRO EDUCACIONAL JOSE MIGUEL CARRERA;540.3064772727273
LA PINTANA;ESC. BASICA PART.IBEROAMERICANO;556.32703125
LO BARNECHEA;INSTITUTO FERMIN VIVACETA;526.0448979591837
LA FLORIDA;ESCUELA BELEN O¦HIGGINS;537.98375
INDEPENDENCIA;LICEO GABRIELA MISTRAL;565.2804166666666
ISLA DE MAIPO;LICEO REPUBLICA DE ITALIA;513.4965217391305
PEÑALOLEN;COLEGIO LIKANKURA DE PEÑALOLÉN;494.88120000000004
PEDRO AGUIRRE CERDA;C.E.I.A.PEDRO AGUIRRE CERDA;535.5238461538462
SANTIAGO;LICEO NRO 2 MIGUEL LUIS AMUNATEGUI;581.3599029126214
LA GRANJA;ESCUELA DEL CARIÑO SAINT CHRISTIAN;513.5799999999999
LA FLORIDA;COLEGIO DE ADULTOS HERNANDO DE MAGALLANES;540.1225000000001
PEÑALOLEN;ESCUELA SANTA MARIA DE PENALOLEN;506.68440000000004
LA FLORIDA;LICEO INDIRA GANDHI;556.6965979381444
LA FLORIDA;CENTRO EDUCACIONAL DE ADULTOS RAFAEL SOTOMAYO;502.79650000000004
PADRE HURTADO;LICEO BICENTENARIO DE EXCELENCIA PATRICIO MEKIS DE PADRE HURTADO;555.0059913793103
MELIPILLA;LICEO LOS JAZMINES;546.408
ÑUÑOA;LICEO EXPERIMENTAL MANUEL DE SALAS;715.7678500000001
PUENTE ALTO;ESCUELA DOMINGO FAUSTINO SARMIENTO;553.2144186046512
LA CISTERNA;LICEO TÉCNICO INDUSTRIAL LA CISTERNA;552.5222222222222
SANTIAGO;LICEO DE APLICACION RECTOR JORGE E SCHNE;634.0374137931035
LO BARNECHEA;INSTITUTO HEBREO DR CHAIM WEIZMANN-ORT;834.2224242424243
LA PINTANA;COLEGIO SIMON BOLIVAR;514.6001960784314
LAS CONDES;COLEGIO VILLA MARIA ACADEMY;822.5687012987013
CALERA DE TANGO;LICEO LONQUEN;551.5967857142857
SANTIAGO;LICEO N° 4 BICENTENARIO ISAURA DINATOR;590.8177235772358
RENCA;COLEGIO DE ADULTO LAURA VICUNA DE RENCA;543.4647368421053
SAN BERNARDO;LICEO POLIVALENTE A-127 FIDEL PINOCHET LE-BRUN;560.3143518518518
ESTACION CENTRAL;COLEGIO DE AD. SANTA MARIA DEL TRABAJO DE EST;540.7516
QUINTA NORMAL; ;605.5062594268477
LAS CONDES;ESCUELA MILITAR LIB CAP GRAL BDO O'HIGG R.;624.72
SANTIAGO;LICEO 6 BICENTENARIO TERESA PRATS;605.9541798941799
ESTACION CENTRAL;LICEO DE ADULTOS MUNICIPALIZADO LUIS GOMEZ CATALAN;545.5932911392406
PEÑALOLEN;ESCUELA BASICA Y ESPECIAL N° 2078 GENESIS 2005;534.5513636363636
LA FLORIDA;COLEGIO HUGO LANDAURO HENRIQUEZ;529.705
VITACURA; ;605.5062594268477
PEÑALOLEN;ESCUELA TOBALABA;560.3983333333333
PEÑALOLEN;COLEGIO DE ADULTOS ANTU-ANAY;529.0722222222222
PUDAHUEL;LICEO DE ADULTOS ALBERTO GALLEGUILLOS J.;538.8276146788991
PROVIDENCIA;LICEO CARMELA CARVAJAL DE PRAT;704.5603244274809
PUENTE ALTO;COLEGIO DE ADULTOS INSTITUTO ROGERIANO;541.3746938775511
PROVIDENCIA;LICEO JOSE VICTORINO LASTARRIA;685.484890625
SANTIAGO;LICEO  DE  ADULTOS  INSIEME;569.0398571428572
PUENTE ALTO;CENTRO EDUC. PRINCIPADO DE ASTURIA ADULTO;536.8918867924529
QUILICURA;COLEGIO SAN ALBERTO HURTADO;532.9378082191781
SANTIAGO;LICEO JOSE MIGUEL INFANTE;636.7816260162601
SAN BERNARDO;LICEO DE ADULTOS PUCARA DE CHENA;542.5239325842697
LA PINTANA;LICEO MUNICIPAL EL ROBLE;538.0996875
PUENTE ALTO;COLEGIO PART. LOS OLMOS DE PTE. ALTO;554.5704761904763
PEÑALOLEN;CENTRO EDUCACIONAL FUNDACION PAULA JARAQUEMAD;526.2281818181818
MELIPILLA;COLEGIO  INSTITUTO MANQUEHUE;551.7711650485437
SAN BERNARDO;ESC BASICA PART EMILIA GONZALEZ ESPINOZA;577.3238793103449
QUINTA NORMAL;LICEO GUILLERMO LABARCA HUBERTSON;544.5340740740742
ÑUÑOA;LICEO TECNICO B NÕ 58 JOSE MARIA NARBONA;536.0449645390071
CURACAVI;CENTRO DE ESTUDIOS FRANCISCO BILBAO DE CURACA;514.1478048780488
LA FLORIDA;PROFESOR FRANCISCO VERGARA BOBADILLA;547.3881818181818
TALAGANTE;COLEGIO SAGRADO CORAZON;505.53999999999996
SAN BERNARDO;ESCUELA ELEODORO YANEZ PONCE DE LEON;523.9290476190477
EL BOSQUE;LICEO FRAY LUIS BELTRAN;533.9679166666666
BUIN;ESCUELA DEL CARIÑO KIMELTUWE;520.2751351351351
PEÑAFLOR;LICEO MUNICIPALIZADO PENAFLOR;547.7692592592592
MAIPU;COLEGIO ADULTOS  ALFRED NOBEL;524.8361111111111
ISLA DE MAIPO;CENTRO EDUCACIONAL ISLA DE MAIPO;525.7488157894737
MAIPU;COLEGIO PART. DE ADULTOS ITSA;534.41625
RENCA;LICEO MUNICIPAL FRANCISCO INFANTE ABBOT;483.5
RECOLETA;LICEO LEONARDO MURIALDO;662.6404587155963
PEDRO AGUIRRE CERDA; ;605.5062594268477
SAN RAMON;ESCUELA ESPECIAL DE ADULTOS;514.3206451612904
SAN BERNARDO;LICEO VALLE DE LLUTA;518.9903846153846
HUECHURABA;CENTRO EDUCACIONAL BICENTENARIO DE EXCELENCIA DE HUECHURABA;523.9801769911504
SAN JOAQUIN;ESC. TECNICA E INST. COMER. SAINT LAWRENCE;576.705
INDEPENDENCIA;COLEGIO POLIVALENTE PLUS ULTRA;543.0077674418604
VITACURA;LYCÉE ANTOINE DE SAINT-EXUPÉRY;753.7296026490067
PEÑAFLOR;CENTRO EDUCACIONAL ADULTOS KAIROS;482.7040740740741
CONCHALI;LICEO ALBERTO BLEST GANA;535.73
INDEPENDENCIA;LICEO SANTA TERESITA;561.9878828828829
QUINTA NORMAL;LICEO POLIVALENTE JUAN A.RIOS;565.8685555555555
QUILICURA;LICEO JOSE DOMINGO CANAS;610.4451851851852
PEÑALOLEN;COLEGIO PART. ALTAMIRA-ADULTOS;537.5990909090909
LO ESPEJO;COLEGIO EDUCAD LO ESPEJO;533.2411111111111
PUENTE ALTO;ESCUELA VOLCAN SAN JOSE;508.72818181818184
HUECHURABA;COLEGIO DE ADULTOS JOSE ABELARDO NUNEZ;541.853
SANTIAGO;COLEGIO SAN IGNACIO;763.217625
LA FLORIDA;LICEO NUEVO AMANECER;548.365421686747
SAN BERNARDO;ESCUELA BASICA ANTUPILLAN;538.1935294117646
RENCA;LICEO THOMAS ALVA EDISON;528.3441176470589
COLINA;COLEGIO DE ADULTOS SAN ANDRES DE COLINA;539.2304651162791
SAN BERNARDO;LICEO NUEVO PORVENIR;547.8825
PIRQUE; ;605.5062594268477
COLINA;LICEO HUMBERTO DIAZ CASANUEVA;447.4746153846154
LAMPA;LICEO MUNICIP. DE ADULTOS PEDRO J. RODRIGUEZ;530.75375
SANTIAGO;COLEGIO NUESTRA SENORA DE ANDACOLLO;642.4242028985507
RECOLETA;COMERCIAL AVDA.RECOLETA;581.8033333333333
PROVIDENCIA; ;605.5062594268477
LA REINA;COLEGIO SANTA CATALINA LABOURÉ;625.1769811320754
PROVIDENCIA;LICEO Nº7 DE PROVIDENCIA LUISA SAAVEDRA;667.7619952494061
CERRO NAVIA;LICEO POLIVALENTE LOS HEROES DE LA CONCEPCIÓN;524.0285135135135
PEDRO AGUIRRE CERDA;LICEO POLIVALENTE EUGENIO PEREIRA SALAS;543.55390625
LA PINTANA;ESC.BASICA PROF.AURELIA ROJAS BURGOS;548.2555555555556
SAN MIGUEL;LICEO ANDRES BELLO;621.1360747663551
MELIPILLA;COLEGIO DE ADULTOS  ALBA DE ORO;581.6427586206896
SAN MIGUEL;ESC. ESP. DE ADULTOS HUGO MORALES BIZAMA;458.84125
SAN MIGUEL;COLEGIO CORAZON DE MARIA;672.835
COLINA;COLEGIO DE ADULTOS SEMBRADOR SAN BENITO;526.3100000000001
LO ESPEJO;COMPLEJO EDUC. ADULTOS CALETA SUR;525.1353571428571
LA REINA;COLEGIO ANDREE ENGLISH SCHOOL;823.1095054945055
PUDAHUEL;COLEGIO POLIV. SAN LUIS BELTRAN;558.768761904762
MAIPU; ;605.5062594268477
RECOLETA;LICEO A-1 VALENTIN LETELIER;543.6358677685951
SAN JOSE DE MAIPO;LICEO POLIVALENTE SAN JOSE DE MAIPO;525.41140625
PUENTE ALTO;LICEO COMERCIAL DE PUENTE ALTO;533.9895180722891
SANTIAGO;LICEO TECNICO A N° 27 CLELIA CLAVEL DINAT;532.9322751322751
EL MONTE;CENTRO  EDUCACIONAL  DE  ADULTOS  EL MONTE;480.01599999999996
LAS CONDES;COLEGIO SCUOLA ITALIANA VITTORIO MONTIGLIO;759.7721111111111
PROVIDENCIA;COLEGIO SAN IGNACIO EL BOSQUE;796.4948913043478
COLINA;LICEO POLIVALENTE RIGOBERTO FONTT I.;539.9404166666667
BUIN;LICEO 131;551.5862678062678
MAIPU;COLEGIO SAN LEONARDO;648.4613333333333
SANTIAGO;COLEGIO DE ADULTOS YANQUIRAY;522.5
SANTIAGO;LICEO MUNICIPAL METROPOLITANO DE ADULTOS;565.1004761904762
TILTIL;COLEGIO DE ADULTOS ALTOS DEL HUERTO;553.5622222222223
PUDAHUEL; ;605.5062594268477
PUDAHUEL;ESCUELAS  DEL  CARIÑO ALBORADA;546.5426666666666
SANTIAGO;COLEGIO DE ADULTOS INSTITUTO TABANCURA SEDE LONDRES;585.5686885245902
MELIPILLA;COLEGIO MARAMBIO;724.2695081967214
SANTIAGO;LICEO JOSE MIGUEL CARRERA;489.0
RECOLETA;COLEGIO  EDUCAR ADULTOS  RECOLETA;532.6722222222222
SAN BERNARDO; ;605.5062594268477
ÑUÑOA;LICEO COMERCIAL GABRIEL GONZALEZ VIDELA;568.8925503355705
LA FLORIDA;COLEGIO SANTA MARIA;629.6582993197279
LA CISTERNA;CENTRO EDUCACIONAL SANTA ROSA;551.1030597014925
MAIPU;COLEGIO DE AD. EDUCAP;545.5989655172414
LO ESPEJO;LICEO POLIVALENTE;518.0818604651163
LA GRANJA;LICEO POLIVALENTE FRANCISCO FRIAS V.;552.0141176470588
CALERA DE TANGO;RIELJAN COLLEGE;537.4101923076923
SAN BERNARDO;CENTRO EDUC. PADRE ALBERTO HURTADO DE SAN BER;538.9018072289157
PROVIDENCIA;COLEGIO UNIVERSITARIO INGLES;686.2828571428571
BUIN; ;605.5062594268477
LA CISTERNA;CENTRO POLITECNICO PARTICULAR SAN RAMON;542.9160869565218
MAIPU;CENTRO DE EDUCACIÓN DE ADULTOS BERNARDO O´HIGGINS DE MAIPÚ;558.579024390244
ESTACION CENTRAL;LICEO BICENTENARIO POLIVALENTE A N°71 GUILLERMO FELIU CRUZ;525.9894444444444
PUENTE ALTO;COLEGIO SAN FERNANDO DE PUENTE ALTO;574.6917073170732
LA CISTERNA;LICEO POLITECNICO GALVARINO N.2;577.16625
ESTACION CENTRAL;LICEO METROPOLITANO;595.8
SAN RAMON;LICEO COMERCIAL VATE VICENTE HUIDOBRO;556.897840909091
TALAGANTE;CENTRO DE EDUC. INTEGRADA DE ADULTOS TALAGANT;539.4192307692308
SANTIAGO;COLEGIO DE ADULTOS PULMAHUE;583.4331428571428
SAN MIGUEL;COLEGIO CHILE ANEXO;588.6
PROVIDENCIA;ESCUELA Y LICEO PAULINA VON MALLINCKRODT;562.9883647798741
PUENTE ALTO;ESCUELA TECNICA LAS NIEVES;606.5
SAN BERNARDO;COLEGIO CORDILLERA DE LOS ANDES;493.42150000000004
VITACURA;COLEGIO LOS ANDES DE VITACURA;788.9487058823529
SAN MIGUEL;LICEO COMERCIAL INSTITUTO SUPERIOR DE COMERCIO DE CHILE (EX A99);559.0720920502092
LA FLORIDA;ESC BASICA PARTICULAR SAN VALENTIN;545.302
CONCHALI;COLEGIO EDUCAADULTOS CONCHALI;543.2274358974358
MAIPU;COLEGIO INSTITUTO RAMÓN FREIRE;571.9697777777777
LAS CONDES;ESCUELA DE PARVULOS N°1527 ALEXANDER MONTESSORI;631.02
SAN MIGUEL;LICEO TECNICO A-100 DE SAN MIGUEL;542.8069178082192
SAN BERNARDO;MASTER COLLEGE;615.6611904761905
SANTIAGO;INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ;583.3402473498234
PUENTE ALTO;LICEO GENERAL PEDRO LAGOS;561.0
LA FLORIDA;COLEGIO PARTICULAR THE GARDEN SCHOOL;622.46
PROVIDENCIA;CENTRO EDUCACIONAL OMEGA;602.41
PUENTE ALTO;CENTRO TECNICO EDUCACIONAL SAN CAYETANO;560.187641509434
CONCHALI; ;605.5062594268477
SANTIAGO;LICEO DE ADULTOS PART.FERMIN VIVACETA;539.7108000000001
SANTIAGO;COLEGIO SAN FRANCISCO DE ASIS DE BELEN;640.5527419354838
PAINE;CENTRO EDUC. ENRIQUE BERNSTEIN CARABANTE;543.7426020408163
SANTIAGO; ;605.5062594268477
PROVIDENCIA;COLEGIO MARIANO;759.2751282051282
SAN BERNARDO;LICEO INDUSTRIAL HARDWARE;538.7040000000001
LO BARNECHEA;COLEGIO SANTIAGO COLLEGE;823.6740789473685
LA FLORIDA;COLEGIO PARTICULAR SAN FRANCISCO DE ASIS;616.3756190476191
PROVIDENCIA;LICEO B 42 TAJAMAR;617.7968722466961
SAN BERNARDO;COLEGIO POLIV. SAN BERNARDO ABAD;539.0534653465347
PUENTE ALTO;CENTRO EDUCACIONAL NUEVA CREACION;546.3544
SAN MIGUEL;COLEGIO DE ADULTOS PART. VASCO DE GAMA;558.8779999999999
ESTACION CENTRAL;LICEO COMERCIAL B-72;550.8282170542635
PROVIDENCIA;COLEGIO ARGENTINO DEL SAGRADO CORAZON;795.0
SANTIAGO;COLEGIO INSTITUTO ALONSO DE ERCILLA;763.0559071729958
MAIPU;COMPLEJO EDUCACIONAL ALBERTO WIDMER;599.5474264705882
TALAGANTE;ENGLISH COLLEGE;561.967880794702
LA CISTERNA;LICEO POLITECNICO CIENCIA Y TECNOLOGIA;569.3026618705037
PAINE;LICEO MUNICIPAL DE ADULTO MIGUEL CAMPINO LARRAIN;528.0348484848486
SANTIAGO;ESCUELA NACIONAL DE CAPACITACION ENAC;656.0
MACUL;LICEO VILLA MACUL ACADEMIA EX LICEO JUANA DE IBARBOUROU A 48;578.958
PROVIDENCIA;LICEO POLIVALENTE ARTURO ALESSANDRI P.;618.7102150537635
LAS CONDES;LICEO RAFAEL SOTOMAYOR;652.6921
LA CISTERNA;CENTRO EDUCACIONAL SANTA CLARA;619.0884615384615
VITACURA;COLEGIO LA MAISONNETTE;742.1103278688526
PEÑALOLEN;LICEO JUAN BAUTISTA PASTEN;575.1755555555555
INDEPENDENCIA;LICEO AVENIDA INDEPENDENCIA DIURNO;645.0
MACUL; ;605.5062594268477
ÑUÑOA;ESCUELA BENJAMIN CLARO VELASCO;734.5
SANTIAGO;LICEO PROFESIONAL ABDON CIFUENTES;587.6043414634146
LA CISTERNA;INSTITUTO COMERCIAL PARTICULAR LA CISTERNA;548.7610576923078
LA CISTERNA;LICEO MADRE CECILIA LAZZERI;670.5446043165467
LAS CONDES;COLEGIO REDLAND SCHOOL;790.6180555555555
MELIPILLA;COLEGIO POLIVALENTE SAN AGUSTIN;564.5128537735849
